account_length,international_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls
155,1,38,234.6,84,214.9,119,196.7,69,8.0,2,1
130,0,0,140.9,68,217.5,109,123.6,96,13.6,4,3
100,0,0,203.8,122,283.1,76,197.3,83,12.5,3,0
129,0,32,211.0,99,155.1,89,234.8,96,11.4,5,1
194,0,0,258.3,76,306.0,88,241.8,106,13.6,4,1
34,0,0,151.0,102,131.4,101,186.6,86,9.9,7,0
35,0,37,181.2,76,177.6,98,228.0,136,5.0,3,2
128,0,0,212.4,118,148.6,108,214.8,98,9.8,5,1
148,1,0,218.9,88,208.0,85,203.3,99,11.1,4,0
65,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3
120,0,23,221.9,114,254.7,84,250.5,117,7.2,5,2
128,0,41,184.8,76,160.6,86,162.0,131,9.8,6,2
77,0,32,192.2,101,165.4,84,230.2,129,8.0,6,1
141,0,0,215.6,113,200.6,81,153.8,107,12.4,6,1
145,0,24,147.5,90,175.7,108,252.1,102,15.6,3,2
134,0,50,208.8,130,132.9,104,136.7,107,11.1,4,2
155,0,0,163.0,93,203.9,102,159.0,109,15.1,4,2
117,0,0,97.1,98,228.0,131,240.0,111,10.6,3,1
51,0,0,176.7,129,218.9,125,183.9,51,9.1,4,0
111,0,28,128.8,104,157.3,52,147.4,76,10.3,2,2
102,1,0,209.8,85,165.7,100,230.1,92,8.7,6,0
94,0,38,170.1,124,193.3,116,105.9,73,12.8,4,1
144,0,0,133.3,101,255.5,127,228.6,68,11.6,2,0
135,0,0,112.7,123,280.0,90,251.9,110,10.4,2,0
163,0,0,122.4,129,113.4,108,180.2,97,12.5,7,1
59,0,0,107.8,113,216.6,125,217.5,92,9.9,3,2
182,0,0,160.3,87,229.9,101,185.3,96,8.7,11,2
81,0,0,173.2,80,236.2,94,240.2,84,11.8,6,2
51,0,0,95.3,103,189.3,116,238.7,110,13.6,4,1
76,1,0,241.0,120,231.8,96,220.2,67,9.9,1,1
45,0,26,91.7,104,150.6,119,63.3,103,7.7,5,1
115,0,33,145.0,72,194.5,157,242.3,138,14.2,3,2
183,0,8,86.5,119,285.2,97,180.4,133,8.7,2,2
86,0,0,171.8,106,301.7,44,139.4,108,9.7,5,1
101,1,0,169.5,117,212.0,111,204.0,120,9.7,1,0
65,0,0,153.9,117,220.1,122,280.5,147,8.5,3,2
139,0,0,148.7,90,204.3,106,144.1,105,9.8,4,2
144,1,35,174.8,127,219.6,93,255.8,90,12.8,3,0
127,0,0,212.9,92,260.1,124,177.6,85,8.6,2,2
148,1,0,148.2,138,159.6,123,197.4,62,8.6,3,2
96,0,0,170.5,86,277.5,88,162.5,117,12.2,6,1
126,1,0,197.6,126,246.5,112,285.3,104,12.5,8,2
61,0,0,234.6,126,200.7,76,171.1,81,8.1,2,0
36,0,0,175.1,144,216.9,69,243.7,146,9.9,3,1
112,0,0,351.5,95,206.8,108,275.8,146,11.9,4,1
107,0,30,198.9,87,207.0,90,159.8,76,12.6,4,3
77,1,0,192.7,82,198.0,91,204.2,95,9.0,6,1
109,1,0,159.6,136,151.0,126,142.1,53,7.3,4,4
40,0,0,309.4,86,271.3,98,197.1,116,11.2,5,3
63,0,34,152.2,119,227.1,91,195.7,103,12.3,5,1
123,0,0,163.1,119,249.4,51,168.2,77,9.0,10,1
80,1,30,184.2,132,167.5,109,212.8,114,10.0,10,0
139,0,43,231.0,85,222.3,82,148.0,105,8.3,5,2
57,0,30,179.2,105,283.2,83,228.1,77,14.7,5,1
43,1,0,251.5,105,212.8,104,157.8,67,9.3,4,0
125,0,0,113.0,108,169.2,107,156.6,61,9.2,5,2
143,0,0,211.4,94,184.5,89,243.2,108,5.5,5,1
101,0,0,136.2,92,220.9,110,196.9,116,13.3,7,3
46,0,0,257.4,67,261.1,91,204.4,107,13.4,5,2
124,0,0,312.0,112,180.0,109,168.6,94,12.8,4,1
137,0,0,97.5,95,195.8,82,288.8,78,0.0,0,1
88,0,0,113.7,67,165.1,127,141.5,142,10.8,3,1
44,0,0,308.6,139,150.8,94,198.7,66,7.3,3,4
116,1,0,191.7,97,176.2,127,103.9,96,4.9,4,2
24,0,0,265.6,86,208.8,102,182.5,105,11.1,6,2
63,0,0,120.1,103,179.2,132,127.3,82,6.3,4,1
67,0,36,115.6,111,237.7,94,169.9,103,9.9,12,2
147,0,0,212.8,79,204.1,91,156.2,113,10.2,2,1
73,0,0,157.6,92,198.3,87,364.9,106,9.1,4,1
114,0,26,137.1,88,155.7,125,247.6,94,11.5,7,2
96,0,26,145.8,108,192.2,89,165.1,96,9.9,2,1
41,0,0,143.6,117,152.4,108,194.4,110,8.6,3,1
48,0,0,128.2,71,48.1,78,116.3,80,8.9,3,0
28,0,0,187.8,94,248.6,86,208.8,124,10.6,5,0
137,0,0,230.2,113,220.4,79,204.7,111,10.7,7,4
96,0,21,247.6,95,256.3,150,158.6,72,10.8,6,2
90,0,0,157.9,72,234.0,93,210.0,86,12.2,5,2
98,0,0,221.2,80,213.6,104,291.8,89,11.9,3,4
65,1,0,54.8,74,239.8,93,214.4,91,13.4,5,1
79,0,34,103.7,100,236.3,78,256.6,102,14.8,4,2
19,0,34,156.6,97,224.2,97,260.9,135,11.3,1,1
73,0,0,217.8,91,220.6,97,277.3,89,10.3,6,1
195,0,0,221.6,109,126.2,94,212.2,98,6.4,2,0
100,0,38,177.1,88,163.7,108,242.7,72,7.4,2,0
88,0,0,192.6,96,184.0,92,173.6,113,8.8,6,2
74,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1
194,0,42,203.7,109,192.9,125,318.0,81,10.8,16,3
63,0,0,185.3,87,225.3,87,194.3,93,11.7,3,0
52,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3
152,0,39,243.1,137,236.7,103,191.2,118,9.9,3,1
88,0,0,158.2,130,234.6,91,291.0,117,12.9,3,2
91,1,0,129.9,112,173.3,83,247.2,130,11.2,3,3
152,0,0,206.3,98,292.8,82,43.7,121,10.6,4,1
95,1,41,136.8,91,200.8,61,133.7,67,10.3,9,5
88,1,0,132.9,132,208.2,82,260.5,42,14.4,11,2
58,0,0,149.4,145,196.5,105,209.5,108,14.9,3,1
21,0,0,254.3,87,215.5,95,236.3,98,11.6,5,1
90,0,0,200.9,92,164.3,91,249.0,98,8.9,7,1
57,0,0,165.1,91,240.8,56,277.0,100,9.5,3,2
87,0,30,262.8,114,215.8,130,154.8,88,7.8,2,0
161,1,0,156.1,114,180.3,63,179.6,115,11.1,9,2
52,0,21,195.7,119,106.2,95,157.4,94,5.3,3,2
74,0,25,234.4,113,265.9,82,241.4,77,13.7,4,0
145,0,43,257.7,97,162.1,95,286.9,86,11.1,4,2
164,0,0,215.6,90,171.6,99,110.4,105,11.3,6,1
109,0,0,200.1,72,300.9,120,236.0,68,11.9,5,0
183,0,38,178.4,103,184.4,79,203.3,94,7.2,3,3
87,0,0,204.8,101,161.0,80,285.7,89,9.5,3,0
66,0,0,146.4,107,196.5,99,230.1,106,7.8,2,1
99,0,0,190.4,102,158.1,107,271.5,92,11.2,4,2
36,0,0,184.6,132,193.7,69,283.5,83,5.9,3,1
10,0,0,222.2,127,153.1,125,227.4,80,12.9,4,1
121,0,0,213.2,79,120.7,116,244.4,102,7.5,4,1
89,0,24,197.8,84,223.2,117,201.7,132,5.7,4,1
126,0,0,161.4,110,220.6,125,249.2,78,5.1,2,0
107,0,28,201.8,79,304.9,128,225.6,133,11.9,8,1
120,0,0,185.7,133,235.1,149,256.4,78,16.9,6,0
120,0,0,94.3,97,181.5,91,176.5,149,9.6,4,1
130,0,0,150.4,119,230.5,99,186.3,76,12.3,4,1
101,0,28,105.9,132,231.7,107,281.3,120,10.7,5,1
30,0,0,247.4,107,175.9,76,287.4,90,11.3,2,0
34,0,0,210.4,75,205.1,108,230.5,129,12.5,2,1
112,1,0,161.9,138,200.9,114,134.0,134,10.7,4,1
71,0,0,112.1,122,157.9,86,271.6,104,11.1,5,0
57,0,0,221.1,101,236.7,65,252.3,137,9.5,1,0
70,0,0,175.4,130,159.5,130,260.6,96,11.6,4,0
100,0,0,235.8,130,176.0,69,63.6,122,7.3,1,2
50,1,26,307.1,94,289.4,78,174.9,109,8.0,3,0
138,0,0,180.5,82,242.4,103,244.4,89,10.3,7,2
117,0,20,205.7,98,136.1,107,159.4,147,8.7,3,2
104,0,0,264.0,108,132.2,75,177.7,91,10.6,8,3
124,0,0,160.9,109,144.2,152,120.4,97,12.9,12,1
13,0,31,265.3,94,147.6,95,259.3,117,12.9,1,1
78,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0
163,0,0,238.6,107,178.0,85,196.0,124,6.2,4,1
161,0,0,173.4,100,213.7,74,141.5,69,11.5,4,1
98,0,0,86.1,78,222.7,130,155.0,124,9.0,7,0
97,1,0,230.6,131,261.3,136,157.1,96,6.8,4,0
110,0,0,222.7,94,105.8,98,214.8,78,13.5,4,1
99,0,0,135.7,107,208.4,103,209.0,95,8.8,3,7
57,0,0,190.1,114,274.5,96,132.5,122,9.2,5,3
112,0,29,198.8,122,238.6,114,289.5,69,11.5,5,1
132,0,0,163.2,80,167.6,90,87.5,90,6.2,10,1
98,0,19,110.5,87,227.8,97,243.6,84,11.0,4,1
42,0,0,155.1,110,160.8,109,237.4,115,11.3,2,3
156,0,0,150.5,106,152.9,112,215.9,86,3.5,3,1
131,0,0,110.9,74,115.6,90,190.5,114,15.8,9,1
65,0,0,244.5,72,206.2,88,299.8,110,7.6,1,5
129,0,0,198.4,91,264.7,106,111.4,101,9.2,2,2
101,0,21,238.0,88,209.6,84,233.0,95,10.0,5,2
117,0,38,259.3,94,245.6,71,269.3,125,9.2,1,3
78,0,0,193.4,99,116.9,88,243.3,109,9.3,4,2
75,1,0,222.4,78,327.0,111,208.0,104,8.7,9,1
52,0,31,142.1,77,193.0,97,253.4,88,11.0,4,1
81,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1
108,0,0,239.3,102,223.4,127,251.4,104,10.6,6,0
90,0,24,71.2,82,181.6,103,186.9,111,12.9,1,1
18,0,0,197.0,97,203.7,107,202.0,105,8.7,3,3
28,0,0,168.2,87,161.7,92,192.4,112,10.1,3,3
145,0,0,135.0,122,206.3,88,210.4,90,19.7,4,0
146,0,0,157.4,89,196.0,117,147.7,150,10.8,4,0
142,0,30,154.0,75,165.8,97,270.0,83,10.8,5,1
69,0,0,211.7,94,236.1,124,252.7,90,7.2,2,4
32,0,0,230.7,122,204.7,134,142.0,86,8.7,3,2
94,1,39,115.5,90,122.5,99,197.7,110,7.0,3,0
142,0,0,131.7,85,239.6,118,235.1,77,8.9,3,1
72,0,0,129.8,106,188.7,138,212.5,116,8.3,4,4
111,0,0,284.4,89,157.0,113,242.8,91,8.4,8,0
119,0,0,98.8,97,146.9,68,190.7,105,10.0,4,3
30,0,30,217.4,74,213.8,86,227.2,104,6.6,3,0
156,0,0,178.8,94,178.4,97,169.2,77,7.5,3,1
109,0,0,168.0,103,190.8,100,196.9,65,7.1,4,0
176,0,0,216.7,91,233.9,104,231.1,110,9.0,4,1
188,1,26,198.8,115,166.6,67,198.5,118,14.4,3,1
136,0,0,240.1,121,271.2,123,132.7,98,17.2,4,0
88,0,0,301.5,136,257.7,72,132.9,118,13.4,2,4
85,0,0,126.1,112,274.7,126,184.4,95,9.8,4,1
156,1,0,277.0,119,238.3,106,94.4,96,8.3,3,1
78,0,0,190.3,88,194.5,89,256.5,109,11.7,5,2
98,0,0,72.8,107,186.4,103,175.3,110,10.5,4,3
133,0,0,128.9,85,201.4,93,275.3,103,11.1,3,1
134,0,0,199.7,107,205.8,86,198.8,125,8.3,5,0
134,0,0,244.1,99,246.9,111,200.0,133,7.2,2,0
163,0,0,178.7,56,215.7,79,152.7,84,10.6,2,4
130,0,0,120.5,127,189.7,52,270.1,107,14.3,2,1
64,0,40,210.0,116,232.7,89,168.8,94,5.9,4,8
61,0,0,88.1,60,129.7,108,169.0,87,13.3,4,2
86,0,0,223.0,109,286.2,76,257.8,132,7.5,7,3
77,0,0,169.4,102,184.9,144,234.3,89,2.0,7,1
136,0,0,102.1,75,219.5,97,73.7,92,9.8,5,0
74,0,0,200.4,87,309.2,105,152.1,118,10.0,2,1
13,0,0,193.2,89,194.4,90,186.5,104,9.7,2,4
176,0,0,201.9,101,154.7,78,164.4,79,9.0,2,1
43,0,0,199.9,108,288.4,80,180.6,103,11.3,7,1
35,0,0,138.1,115,158.2,82,215.7,118,10.3,2,5
124,0,0,178.4,72,233.6,134,179.4,91,12.0,2,0
87,0,0,297.4,63,118.4,108,242.3,72,11.0,2,2
88,0,0,138.7,92,205.8,73,247.9,119,9.8,5,1
57,0,23,208.7,57,233.4,132,108.8,117,9.1,5,1
132,0,0,121.5,88,253.0,124,195.7,120,10.7,4,1
54,0,0,116.8,119,123.1,123,217.5,101,12.0,2,1
139,0,0,187.4,86,169.3,116,153.4,88,11.7,3,1
57,0,0,192.8,68,158.0,86,235.5,105,12.7,6,1
134,0,32,224.0,75,97.5,103,211.6,80,10.7,5,2
105,0,0,246.4,83,256.2,101,169.0,151,3.8,4,0
200,0,0,195.4,71,249.4,96,233.1,132,12.9,2,3
143,0,0,194.3,99,123.6,133,229.5,99,10.2,2,2
169,0,0,276.1,120,123.5,88,261.9,116,11.9,5,1
118,0,0,161.6,96,223.9,113,240.6,137,6.8,2,0
100,0,0,115.9,87,111.3,56,170.2,77,7.1,4,1
187,0,25,199.9,64,134.6,110,210.4,78,11.7,6,3
115,0,0,156.8,104,264.7,84,249.0,112,7.4,8,0
120,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1
100,0,38,224.7,121,294.0,131,290.0,61,9.8,6,0
87,0,0,110.9,91,158.5,115,207.5,131,6.2,5,1
107,0,0,212.1,95,150.1,88,219.8,111,7.7,2,3
76,0,0,186.1,96,211.6,100,230.6,100,8.0,4,0
29,0,0,157.4,122,145.0,75,281.8,92,9.3,2,1
165,0,0,209.4,67,273.8,89,150.2,88,12.8,1,0
65,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1
92,0,0,157.7,101,298.6,100,216.9,99,13.8,3,1
161,1,0,194.2,106,249.4,105,254.9,129,12.9,1,1
107,0,0,230.4,65,257.4,80,107.3,88,8.5,3,1
123,0,0,128.7,126,117.6,94,198.4,132,10.8,5,0
145,0,0,185.9,106,209.7,112,224.7,87,9.3,4,2
57,0,37,69.5,94,220.9,76,218.5,113,11.9,3,0
119,0,0,287.1,83,218.4,124,151.5,42,11.0,4,1
41,0,37,239.8,110,221.9,115,189.1,100,7.3,1,2
109,0,0,150.6,106,147.4,108,173.2,109,9.5,5,1
151,0,0,194.8,106,292.7,103,224.6,82,5.5,3,0
93,0,21,213.8,103,257.7,72,218.4,114,7.2,6,1
122,0,0,144.2,87,212.2,74,169.3,87,9.5,4,0
131,0,24,135.9,60,233.2,78,210.6,121,9.4,4,1
99,0,0,142.3,89,204.5,95,203.1,114,9.1,1,0
121,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1
67,0,0,124.0,77,222.2,95,151.2,111,13.1,2,0
127,0,0,155.8,91,103.7,85,117.2,125,8.6,3,2
53,0,0,119.7,113,189.7,84,256.2,108,12.9,7,2
126,0,24,197.3,82,167.6,51,222.0,89,7.4,3,1
72,0,0,141.3,133,134.9,96,227.5,97,11.2,3,2
140,0,28,157.1,77,172.4,97,184.5,94,11.1,9,1
66,0,0,113.9,112,271.8,106,216.7,95,15.6,3,2
106,0,0,207.9,91,172.0,109,191.8,143,14.4,7,4
74,0,0,124.8,114,133.0,121,160.3,85,10.6,7,3
157,0,0,240.2,67,153.0,98,249.0,72,10.2,6,2
123,0,0,225.6,102,225.8,56,186.7,128,6.7,2,1
179,0,0,234.5,134,164.2,94,191.4,72,6.1,4,1
38,0,38,175.6,127,260.5,118,199.5,109,12.3,2,2
66,0,0,192.4,98,187.0,93,132.9,82,11.2,1,0
109,0,35,230.5,116,265.8,130,269.7,69,10.6,6,5
125,0,0,175.9,98,192.8,148,278.2,110,10.6,5,0
129,0,0,207.0,91,154.9,121,245.1,112,13.4,5,3
47,0,28,112.2,70,154.8,106,166.7,105,10.6,2,0
96,0,0,125.8,102,244.4,111,167.7,90,9.0,2,2
95,0,0,198.4,113,235.9,144,325.6,99,10.1,3,0
102,0,0,114.8,125,81.9,126,304.3,101,12.0,4,0
127,0,25,173.0,91,245.8,64,300.0,99,4.8,3,0
185,0,31,189.8,126,163.3,133,264.8,126,7.5,3,1
123,0,22,197.6,105,80.0,86,120.8,82,15.6,12,2
95,0,0,269.0,120,233.7,120,179.3,61,7.3,4,2
104,0,0,156.2,93,193.0,54,222.7,94,13.1,5,1
63,0,0,180.5,126,230.0,98,232.5,73,10.6,3,0
63,0,0,278.0,102,266.4,114,224.1,118,13.1,4,4
67,0,0,201.4,101,97.6,122,202.5,119,7.0,3,0
139,0,25,138.3,96,80.6,79,163.7,83,8.3,8,0
93,1,0,216.9,61,207.4,120,221.7,110,17.5,5,1
145,0,0,241.7,137,135.8,100,277.6,123,13.1,3,0
93,0,0,164.5,95,230.9,87,149.9,91,9.9,3,4
60,0,0,229.5,91,157.7,67,162.4,76,13.2,3,2
128,0,0,158.8,75,264.8,91,270.0,77,7.6,7,1
110,0,0,149.8,112,180.0,93,140.0,119,11.7,4,2
172,0,0,203.9,109,234.0,123,160.7,65,17.8,4,4
121,0,31,237.1,63,205.6,117,196.7,85,10.1,5,4
80,0,0,203.7,92,216.4,97,154.2,66,7.6,5,2
45,0,0,159.8,91,120.4,86,163.0,93,10.6,3,2
67,0,35,245.4,89,148.2,102,274.0,136,7.5,6,1
108,0,15,196.8,79,173.5,99,274.7,108,14.6,5,1
81,0,28,167.9,147,190.7,105,193.0,103,9.2,6,4
90,0,0,140.8,109,303.0,114,267.4,112,14.1,1,0
121,0,35,68.7,95,209.2,69,197.4,42,11.4,4,1
95,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3
176,0,23,283.2,130,162.6,74,177.7,104,7.2,6,1
69,0,38,272.9,122,188.4,97,132.4,87,10.5,3,2
42,0,0,184.5,98,200.5,93,279.2,91,8.8,3,2
135,0,0,181.8,92,159.6,63,232.4,78,7.0,6,0
105,0,0,226.9,106,182.2,77,203.9,107,11.6,2,0
149,0,0,152.1,116,164.3,83,142.8,98,7.6,3,0
25,0,0,264.9,80,281.2,66,166.1,80,8.4,4,1
134,0,0,208.3,86,253.6,89,291.0,86,12.6,3,1
17,0,0,168.5,102,297.2,130,244.7,117,8.8,6,3
107,0,22,281.1,83,143.7,130,239.4,128,11.2,9,1
98,0,0,169.9,77,138.3,155,142.6,105,8.5,7,1
67,0,31,175.2,68,199.2,73,219.8,99,13.2,6,1
78,0,27,121.9,88,225.4,75,90.8,118,13.0,4,3
85,0,0,96.7,97,193.8,95,171.7,88,9.7,3,2
89,0,0,89.7,80,179.8,81,145.7,120,9.5,4,2
68,0,34,160.0,72,184.5,119,208.3,101,6.1,10,1
81,0,31,210.4,100,225.5,97,168.7,120,9.7,4,0
88,0,0,55.6,65,242.7,121,176.3,134,11.3,4,0
59,0,27,127.4,110,103.3,99,164.2,73,9.1,3,0
68,0,0,232.4,76,153.3,103,214.6,107,10.5,2,1
